model,n,mae,rmse,mape,mean_actual
calendar_profile,168,796.0654761904761,1075.3791968405167,0.3623200928084008,2908.3690476190477
previous_week,168,871.6309523809524,1276.9662289974626,0.2966203151753645,2908.3690476190477
previous_day,168,1001.0,1580.6906755924012,0.5634448316627574,2908.3690476190477
