model,origins,holdout_hours,mean_actual,n,mae,rmse,mape
previous_day,17,408,2389.0343137254904,408,773.5588235294117,1241.5757638787013,0.47744290057655103
hour_of_day_profile,17,408,2389.0343137254904,408,851.3324022722423,1215.8101930811376,0.624370109370188
weekday_hour_profile,17,408,2389.0343137254904,408,860.6907679738562,1209.3710884879295,0.5140418481706646
previous_week,17,408,2389.0343137254904,408,1107.1960784313726,1568.0330394303232,0.5353991019767512
