segment_id,segment_label,segment_type,model,model_label,origins,holdout_hours,mean_actual,total_actual,median_origin_mae,origin_wins,n,mae,rmse,mape,wape,origin_win_rate
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,500.6439393939394,528680.0,64.80591752176838,16,1056,71.64848579595039,103.77757895299905,0.37351666287949353,0.14311265983302493,0.36363636363636365
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,500.6439393939394,528680.0,56.60028559859657,12,1056,74.74681490201466,115.30762391388815,0.33628682848576985,0.14930134776524076,0.2727272727272727
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,previous_week,Previous week,44,1056,500.6439393939394,528680.0,77.35416666666667,13,1056,90.84943181818181,149.55528457376354,0.2817436034421261,0.18146515850798214,0.29545454545454547
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,previous_day,Previous day,44,1056,500.6439393939394,528680.0,110.3125,3,1056,115.87878787878788,178.0084959242455,0.289480350915203,0.23145948399788152,0.06818181818181818
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,304.7092803030303,321773.0,41.06256070024348,16,1056,45.617727427794264,65.14267785328974,0.4665731134739237,0.14970901897844363,0.36363636363636365
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,304.7092803030303,321773.0,40.625251676192846,16,1056,47.44388712328381,71.6692847234377,0.4035849579725429,0.15570214033553995,0.36363636363636365
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,previous_week,Previous week,44,1056,304.7092803030303,321773.0,47.125,10,1056,55.57575757575758,89.63243545083714,0.287810004190253,0.1823894484621146,0.22727272727272727
cluster_02,Cluster 02 - 11 Ave & W 41 St area,station_cluster,previous_day,Previous day,44,1056,304.7092803030303,321773.0,67.39583333333334,2,1056,68.97443181818181,103.91979989687269,0.29213527433595543,0.22636144114018267,0.045454545454545456
cluster_03,Cluster 03 - West St & Chambers St area,station_cluster,weather_event_ridge,Weather/event ridge,44,1056,297.9848484848485,314672.0,38.84967097550545,18,1056,45.70755328754235,65.83806384704472,0.39173366041235474,0.1533888502047997,0.4090909090909091
cluster_03,Cluster 03 - West St & Chambers St area,station_cluster,calendar_lag_ridge,Calendar + lag ridge,44,1056,297.9848484848485,314672.0,42.2865201887338,13,1056,48.718761753103685,73.52867969577952,0.3795480267919844,0.16349409039023965,0.29545454545454547
