station_id,station_name,annual_starts,months_active,first_started_at,last_started_at,latitude,longitude,coordinate_rows,share_of_system_starts,cluster_id,cluster_label
6022.04,E 16 St & 5 Ave,84050,12,2024-01-01 00:23:27.124,2024-12-31 19:50:34.126,40.737261860000004,-73.99238966999995,84050,0.0018997953668364715,cluster_01,Cluster 01 - W 21 St & 6 Ave area
5989.02,W 15 St & 6 Ave,83714,12,2024-01-01 00:20:54.441,2024-12-31 23:23:26.733,40.73804614248275,-73.99642959237099,83714,0.0018922007060005754,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6425.04,11 Ave & W 27 St,80830,12,2024-01-01 00:03:08.476,2024-12-31 23:20:08.574,40.75139600000001,-74.005226,80830,0.0018270132004924685,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6459.04,10 Ave & W 28 St,80767,12,2024-01-01 00:38:12.671,2024-12-31 23:29:02.983,40.750663859999996,-74.00176801999993,80767,0.001825589201585738,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6364.10,6 Ave & W 34 St,77583,12,2024-01-01 01:01:02.556,2024-12-31 23:29:18.202,40.74963999999998,-73.98804999999999,77583,0.0017536207489027241,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6389.09,E 39 St & Lexington Ave,76960,12,2024-01-01 00:21:23.099,2024-12-31 23:11:05.374,40.74949854602523,-73.97729203113154,76960,0.001739538981936167,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6089.07,Lexington Ave & E 24 St,75690,12,2024-01-01 00:32:52.213,2024-12-31 23:14:13.297,40.740258780000005,-73.98409214000002,75690,0.0017108329722290603,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6182.02,W 20 St & 7 Ave,75377,12,2024-01-01 00:55:44.821,2024-12-31 23:53:24.143,40.74238786999999,-73.99726235000004,75377,0.0017037581840099072,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6030.04,W 13 St & 7 Ave,75372,12,2024-01-01 00:45:52.734,2024-12-31 23:47:22.961,40.737815090000005,-73.99994661,75372,0.0017036451682236587,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6280.12,E 32 St & Park Ave,75321,12,2024-01-01 00:55:55.822,2024-12-31 21:40:25.364,40.74571209999999,-73.98194829,75321,0.0017024924072039246,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6239.08,E 31 St & 3 Ave,74965,12,2024-01-01 00:42:21.284,2024-12-31 22:41:14.196,40.74394314000001,-73.97966069000002,74965,0.0016944456832230347,cluster_01,Cluster 01 - W 21 St & 6 Ave area
5947.04,W 13 St & 5 Ave,73463,12,2024-01-01 01:17:26.231,2024-12-31 23:35:31.431,40.73544499999997,-73.99431000000006,73463,0.001660495741034,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6215.07,W 27 St & 6 Ave,72236,12,2024-01-01 01:54:27.722,2024-12-31 23:41:51.802,40.74526,-73.99062000000005,72236,0.00163276166708863,cluster_01,Cluster 01 - W 21 St & 6 Ave area
5863.07,E 15 St & 3 Ave,71437,12,2024-01-01 00:34:49.796,2024-12-31 22:34:23.161,40.73423199999998,-73.98692299999996,71437,0.0016147017444461274,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6115.06,Hudson St & W 13 St,71397,12,2024-01-01 00:29:47.547,2024-12-31 20:23:29.921,40.740057085672866,-74.0052741765976,71397,0.0016137976181561397,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6230.02,1 Ave & E 38 St,70206,10,2024-03-04 14:02:06.167,2024-12-31 23:14:52.673,40.74620200000001,-73.97182200000003,70206,0.0015868772578717587,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6474.11,E 40 St & 5 Ave,69782,12,2024-01-01 00:01:30.092,2024-12-31 23:36:14.832,40.75206230700001,-73.98163240430003,69782,0.00157729351919789,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6230.04,FDR Drive & E 35 St,69561,12,2024-01-01 01:18:28.488,2024-12-31 20:06:40.053,40.74421899999999,-73.97121213999999,69561,0.0015722982214457083,cluster_01,Cluster 01 - W 21 St & 6 Ave area
6726.01,11 Ave & W 41 St,127528,12,2024-01-03 08:54:39.580,2024-12-31 23:45:56.368,40.76030096000001,-73.99884222000003,127528,0.002882535437738507,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6948.10,Broadway & W 58 St,116850,12,2024-01-01 00:05:55.631,2024-12-31 23:48:09.981,40.76695317000001,-73.98169333000003,116850,0.002641178924626314,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6602.03,W 41 St & 8 Ave,108168,12,2024-01-02 13:30:05.223,2024-12-28 08:44:22.180,40.75640547999998,-73.99002620000002,108168,0.0024449383133845026,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6765.01,12 Ave & W 40 St,105680,12,2024-01-01 00:12:32.913,2024-12-31 20:32:30.015,40.760875020000015,-74.00277667999997,105680,0.002388701658147273,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6912.01,7 Ave & Central Park South,103349,12,2024-01-01 00:10:29.683,2024-12-31 23:12:11.112,40.76674055905951,-73.9790689945221,103349,0.002336013698598245,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6876.04,Central Park S & 6 Ave,102407,12,2024-01-01 00:02:29.346,2024-12-31 23:02:24.665,40.765909360000016,-73.97634151000003,102407,0.0023147215244690364,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6756.01,W 43 St & 10 Ave,101188,12,2024-01-01 00:02:16.760,2024-12-31 23:36:21.497,40.760094370000004,-73.99461842999999,101188,0.002287168275781664,cluster_02,Cluster 02 - 11 Ave & W 41 St area
7175.05,Columbus Ave & W 72 St,94265,12,2024-01-01 00:47:46.180,2024-12-31 20:11:23.264,40.77705750000001,-73.97898474999998,94265,0.002130686618142058,cluster_02,Cluster 02 - 11 Ave & W 41 St area
7059.08,West End Ave & W 60 St,93462,12,2024-01-01 00:59:05.706,2024-12-31 23:41:11.657,40.77237000000002,-73.99005,93462,0.0021125362828705568,cluster_02,Cluster 02 - 11 Ave & W 41 St area
7260.09,Amsterdam Ave & W 73 St,93300,12,2024-01-01 00:34:21.358,2024-12-31 22:42:10.366,40.77966809007311,-73.98093044757842,93300,0.002108874571396107,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6551.11,E 43 St & Madison Ave,87736,12,2024-01-01 00:21:19.263,2024-12-31 23:36:42.237,40.75354681867075,-73.97896572947502,87736,0.00198311060445883,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6955.05,W 54 St & 11 Ave,85867,12,2024-01-01 00:05:58.333,2024-12-31 23:34:22.958,40.768333,-73.99257299999996,85867,0.0019408653035591587,cluster_02,Cluster 02 - 11 Ave & W 41 St area
7079.06,Central Park West & W 68 St,83031,11,2024-01-01 00:24:43.003,2024-12-31 23:53:16.638,40.7734066,-73.97782541999997,83031,0.0018767627495990368,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6747.07,8 Ave & W 49 St,82977,12,2024-01-01 00:06:49.751,2024-12-31 22:59:06.954,40.761712279106696,-73.98655101656914,82977,0.0018755421791075537,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6756.05,W 44 St & 11 Ave,78361,12,2024-01-01 00:30:17.944,2024-12-31 23:39:10.375,40.76200900000002,-73.99697500000005,78361,0.0017712060052429831,cluster_02,Cluster 02 - 11 Ave & W 41 St area
7014.12,Broadway & W 61 St,78067,12,2024-01-01 00:25:17.778,2024-12-31 22:10:01.501,40.77003010255043,-73.9819684624672,78067,0.0017645606770115743,cluster_02,Cluster 02 - 11 Ave & W 41 St area
6584.12,E 47 St & Park Ave,77151,12,2024-01-01 00:22:19.640,2024-12-31 23:54:51.334,40.75510266877615,-73.97498695533079,77151,0.0017438561849708579,cluster_02,Cluster 02 - 11 Ave & W 41 St area
