feature_family,baseline_model,challenger_model,segments_evaluated,segments_improved,weighted_lift_pct,mean_lift_pct,median_lift_pct,best_segment,weakest_segment,definition,interpretation
Calendar and lag features,Previous-week operating baseline,Calendar + lag ridge,7,7,0.1818156205805655,0.1757331540250616,0.1772451031767983,System total,Cluster 06 - Hanson Pl & Ashland Pl area,"Calendar cycles, federal holiday flags, 24-hour lag, 168-hour lag, and rolling means.",Calendar and lag features improved MAE for every evaluated segment.
Weather and event features,Calendar + lag ridge,Weather/event ridge,7,7,0.05058311753373518,0.0417630049683178,0.042252988216681206,System total,Cluster 06 - Hanson Pl & Ashland Pl area,"Observed weather, precipitation/snow flags, temperature pressure, holiday windows, and selected event windows.",Weather and event features improved MAE for every evaluated segment.
