segment_id,segment_label,segment_type,origin,model,model_label,n,mae,rmse,mape,wape
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-04-19,calendar_lag_ridge,Calendar + lag ridge,24,89.56146856436095,120.83487470552714,0.19778814448103102,0.2011863764081489
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-04-19,weather_event_ridge,Weather/event ridge,24,79.43414105152173,104.88407578505783,0.20762024204816573,0.17843685747253102
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-04-26,previous_day,Previous day,24,78.125,99.98770757781512,0.18339389413887872,0.16191709844559585
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-04-26,previous_week,Previous week,24,47.583333333333336,73.50623556315931,0.13407715162690007,0.09861830742659758
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-04-26,calendar_lag_ridge,Calendar + lag ridge,24,47.02793809945072,62.132749834238,0.3418135257269684,0.09746722922165953
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-04-26,weather_event_ridge,Weather/event ridge,24,39.36631024434754,61.29751030891389,0.09000293418341852,0.08158820776030577
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-03,previous_day,Previous day,24,127.66666666666667,224.8493940396549,0.23461426312772424,0.24010657471984953
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-03,previous_week,Previous week,24,49.208333333333336,60.742283460535134,0.14205157260178664,0.09254760598699162
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-03,calendar_lag_ridge,Calendar + lag ridge,24,61.92399711333951,89.31963009632726,0.4029807974733653,0.116462340782082
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-03,weather_event_ridge,Weather/event ridge,24,54.07014992127594,66.16447603190255,0.4511604936012592,0.10169137200145933
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-10,previous_day,Previous day,24,263.5416666666667,361.80605992713834,0.967714585251905,0.7933023955850997
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-10,previous_week,Previous week,24,199.5,256.2025565836532,0.8447511421875232,0.6005267778753293
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-10,calendar_lag_ridge,Calendar + lag ridge,24,241.78726591607702,291.44262230305117,1.7516171828435656,0.7278181841196348
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-10,weather_event_ridge,Weather/event ridge,24,103.36894044537307,157.80212735268395,0.4693700902775368,0.3111569761305598
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-17,previous_day,Previous day,24,80.54166666666667,99.50397814492979,0.2124644237475036,0.14656152854651602
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-17,previous_week,Previous week,24,217.58333333333334,274.1751265158822,0.40866234304917554,0.3959360072787929
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-17,calendar_lag_ridge,Calendar + lag ridge,24,112.22333841757198,133.38393367234573,0.47593847920014104,0.2042126106620462
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-17,weather_event_ridge,Weather/event ridge,24,69.07934412903144,84.49624602556221,0.781615481613397,0.1257035604743919
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-24,previous_day,Previous day,24,148.25,196.0116918281492,0.25520151345463066,0.2730621642363776
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-24,previous_week,Previous week,24,53.291666666666664,72.78535795978016,0.12091615805326468,0.09815809669992326
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-24,calendar_lag_ridge,Calendar + lag ridge,24,80.49964724958672,99.01507119066382,0.2524089389799125,0.14827256592402774
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-24,weather_event_ridge,Weather/event ridge,24,114.2248418625539,138.847758959431,0.610629800639008,0.2103911131773825
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-31,previous_day,Previous day,24,82.91666666666667,112.77226313829715,0.19246531252690102,0.1363107062127543
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-31,previous_week,Previous week,24,86.375,127.36152611104083,0.14748558720587154,0.14199602712514556
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-31,calendar_lag_ridge,Calendar + lag ridge,24,54.415554104095975,64.30830009557263,0.4060910388674175,0.08945635307201201
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-05-31,weather_event_ridge,Weather/event ridge,24,51.14142529205043,59.12634172216854,0.38810610839819965,0.08407385485370301
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-07,previous_day,Previous day,24,123.625,176.65680003894556,0.26243071299329984,0.19728705366048274
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-07,previous_week,Previous week,24,35.666666666666664,46.86594356957583,0.11160767954389887,0.05691867810359731
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-07,calendar_lag_ridge,Calendar + lag ridge,24,52.154312282731006,80.93365424188383,0.19931066327526636,0.08323050035145582
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-07,weather_event_ridge,Weather/event ridge,24,71.35269657231656,86.40777259992747,0.4135757702236105,0.11386825704738329
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-14,previous_day,Previous day,24,189.5,300.21589453813624,0.36875406219394674,0.3435823827151167
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-14,previous_week,Previous week,24,90.83333333333333,179.31443518765204,0.2083298630162329,0.16468988441489762
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-14,calendar_lag_ridge,Calendar + lag ridge,24,122.06085246663856,211.44889239749165,0.4186998634250118,0.22130848826768343
cluster_01,Cluster 01 - W 21 St & 6 Ave area,station_cluster,2024-06-14,weather_event_ridge,Weather/event ridge,24,130.13253966926888,194.49594387213284,0.5581108050178396,0.23594326146879602
