origin,model,n,mae,rmse,mape
2024-01-15,previous_day,24,411.5833333333333,516.9746931265913,0.48287324572428963
2024-01-15,previous_week,24,1392.375,1997.1520243419961,0.8507278979337304
2024-01-15,hour_of_day_profile,24,814.6279761904763,1071.4058627553793,0.5913921172885584
2024-01-15,weekday_hour_profile,24,788.8125,930.2699932904784,0.9588815105553495
2024-01-16,previous_day,24,871.5416666666666,1239.341273284589,1.0150098618746737
2024-01-16,previous_week,24,1175.1666666666667,1832.4680533822866,1.1953062287225074
2024-01-16,hour_of_day_profile,24,1518.2777777777776,1848.4899084067192,1.7412547491149943
2024-01-16,weekday_hour_profile,24,1174.1041666666667,1597.7507008552159,1.1553021178948237
2024-01-17,previous_day,24,642.0416666666666,809.4457723240844,0.31538442770023534
2024-01-17,previous_week,24,1631.5833333333333,2020.3409778219782,0.8285093829631279
2024-01-17,hour_of_day_profile,24,781.34375,982.7531092945597,0.7775230712991568
2024-01-17,weekday_hour_profile,24,1510.3125,1849.8979786058474,0.8084242265930603
2024-01-18,previous_day,24,531.8333333333334,663.2083006115047,0.21461289357453806
2024-01-18,previous_week,24,1400.0,1696.8929449634313,0.7518662694717761
2024-01-18,hour_of_day_profile,24,424.23039215686276,551.2603654213035,0.47515868349038404
2024-01-18,weekday_hour_profile,24,1156.7916666666667,1417.9720260522301,0.6390016140493954
2024-01-19,previous_day,24,532.75,728.0384032911085,0.3093382445573544
2024-01-19,previous_week,24,1776.4583333333333,2273.6233288886415,0.878270427052266
2024-01-19,hour_of_day_profile,24,693.1342592592591,981.8013446727574,0.37566634815479666
2024-01-19,weekday_hour_profile,24,1464.2708333333333,1916.975599196992,0.6942051337562999
2024-01-20,previous_day,24,818.875,1124.8719001142604,0.7553223002219117
2024-01-20,previous_week,24,1188.2916666666667,1536.665098516915,0.6717312308124064
2024-01-20,hour_of_day_profile,24,932.7434210526317,1321.5596953138106,0.793523494227217
2024-01-20,weekday_hour_profile,24,683.6875,1058.221892098565,0.3541049062210206
2024-01-21,previous_day,24,152.70833333333334,201.63095413816467,0.14105817357265735
2024-01-21,previous_week,24,524.25,677.8993902736108,0.4634724312621527
2024-01-21,hour_of_day_profile,24,912.4729166666667,1290.0198433955063,0.9542785982290173
2024-01-21,weekday_hour_profile,24,251.41666666666666,307.5146676718581,0.21255284163242646
2024-01-22,previous_day,24,1152.7916666666667,1708.3357276405986,0.5735591370698768
2024-01-22,previous_week,24,865.4583333333334,1246.0230569027738,0.4128784672472266
2024-01-22,hour_of_day_profile,24,426.5357142857142,565.5167667981705,0.38301900026823305
2024-01-22,weekday_hour_profile,24,615.1666666666666,833.9933330846413,0.9324682813069308
2024-01-23,previous_day,24,501.5,722.1013894645728,0.1854913797807869
2024-01-23,previous_week,24,1803.6666666666667,2275.4184230598116,0.5828290236859744
2024-01-23,hour_of_day_profile,24,853.9886363636364,1181.82262236928,0.3529936981787836
2024-01-23,weekday_hour_profile,24,1023.625,1443.4217046977617,0.2805248124036502
2024-01-24,previous_day,24,527.875,735.8293790003223,0.17976582408574307
2024-01-24,previous_week,24,963.6666666666666,1164.3619497389975,0.3898511682260506
2024-01-24,hour_of_day_profile,24,508.96195652173907,728.6798220086245,0.21027970478274452
2024-01-24,weekday_hour_profile,24,391.09722222222223,499.56804952990245,0.1670053248295352
2024-01-25,previous_day,24,1019.5,1374.0734453926884,0.31050865526412724
2024-01-25,previous_week,24,953.6666666666666,1297.6917648912884,0.2942808375889242
2024-01-25,hour_of_day_profile,24,851.7934027777777,1312.0401414693713,0.2852968229239588
2024-01-25,weekday_hour_profile,24,647.5277777777777,892.8994385749199,0.24661124085440492
2024-01-26,previous_day,24,353.4583333333333,593.6694857690879,0.1142768567421744
2024-01-26,previous_week,24,1298.7083333333333,1733.7412941382,0.354734908700215
2024-01-26,hour_of_day_profile,24,699.2133333333333,918.4086872411432,0.2462450141041095
2024-01-26,weekday_hour_profile,24,588.6944444444445,722.3060613730833,0.2352534995257781
2024-01-27,previous_day,24,950.5,1260.1712185254828,0.3967510194802166
2024-01-27,previous_week,24,1790.25,2127.443359998099,0.5402969116242481
2024-01-27,hour_of_day_profile,24,1252.9262820512822,1575.0880620163778,0.4903456430747011
2024-01-27,weekday_hour_profile,24,1336.3472222222224,1593.1157118352378,0.42547200598520596
