origin,model,n,mae,rmse,mape
2024-03-01,previous_day,24,513.2916666666666,653.3633177643202,0.16899353383328605
2024-03-01,previous_week,24,464.0833333333333,633.6333061532251,0.1396530960030463
2024-03-01,hour_of_day_profile,24,790.4590277777778,968.1465299294068,0.19774006017576573
2024-03-01,weekday_hour_profile,24,485.8697916666667,608.0079810973907,0.13151997902027765
2024-03-01,seasonal_lag_blend,24,453.8903645833334,599.684139303322,0.12719305596903197
2024-03-01,calendar_lag_ridge,24,377.688239867585,404.47008237735196,0.4353815118927744
2024-03-08,previous_day,24,638.6666666666666,923.4338994571656,0.21189007073171273
2024-03-08,previous_week,24,744.375,980.5912969564163,0.17154276514924457
2024-03-08,hour_of_day_profile,24,1500.3967661691543,1895.7292341111472,0.31282636290756477
2024-03-08,weekday_hour_profile,24,1175.4166666666667,1491.6187794920436,0.2649138291611034
2024-03-08,seasonal_lag_blend,24,1024.5520833333333,1310.0755862903413,0.2322339567569528
2024-03-08,calendar_lag_ridge,24,720.8872752947981,1013.5659948885452,0.2618425200609578
2024-03-15,previous_day,24,597.7916666666666,938.885886747337,0.1388133034577521
2024-03-15,previous_week,24,756.625,1081.9229216230392,0.16046686613271352
2024-03-15,hour_of_day_profile,24,2153.607545045045,2715.495726186114,0.40686539250859416
2024-03-15,weekday_hour_profile,24,1814.5,2285.6520074514115,0.36123825055345904
2024-03-15,seasonal_lag_blend,24,1444.2437499999999,1842.66925714607,0.29096826600619813
2024-03-15,calendar_lag_ridge,24,524.1469882324105,703.8410593386542,0.1783893036968162
2024-03-22,previous_day,24,520.0,678.8304280157158,0.16958684842753594
2024-03-22,previous_week,24,1569.9583333333333,2039.5702876668245,0.47006119582327593
2024-03-22,hour_of_day_profile,24,496.02520576131695,606.6508151179389,0.13636544474435755
2024-03-22,weekday_hour_profile,24,172.33712121212116,248.66176744078862,0.06587644457495656
2024-03-22,seasonal_lag_blend,24,518.9905303030301,716.8687221222801,0.1538123180750782
2024-03-22,calendar_lag_ridge,24,552.9604216235238,713.7797652277086,0.2249608515504653
2024-03-29,previous_day,24,1923.2083333333333,2656.5849710358098,0.44603972800759123
2024-03-29,previous_week,24,743.7083333333334,967.6165089193825,0.18830646331834275
2024-03-29,hour_of_day_profile,24,1112.4057765151513,1463.9040089230414,0.2509613603550271
2024-03-29,weekday_hour_profile,24,842.6979166666666,1126.9485983083553,0.2153122919041163
2024-03-29,seasonal_lag_blend,24,805.8057291666668,1068.3571544294412,0.20472578089134844
2024-03-29,calendar_lag_ridge,24,1105.448161036618,1523.844573081215,0.2911331358725449
2024-04-05,previous_day,24,510.875,629.4624359986332,0.22449719309303684
2024-04-05,previous_week,24,661.4166666666666,887.2648045162917,0.16307051811496795
2024-04-05,hour_of_day_profile,24,1127.330701754386,1371.2176786741056,0.2527653454741885
2024-04-05,weekday_hour_profile,24,685.5096153846156,834.2425119753742,0.1676909035156158
2024-04-05,seasonal_lag_blend,24,492.2645833333334,694.0610911361958,0.11823050032578834
2024-04-05,calendar_lag_ridge,24,393.5559150647278,483.07231327885006,0.27155502188083536
2024-04-12,previous_day,24,1225.7916666666667,1734.5368377946506,0.3559654677024386
2024-04-12,previous_week,24,657.5833333333334,1002.3648287923913,0.27260607493298583
2024-04-12,hour_of_day_profile,24,1452.5878267973856,1902.9139341978166,0.34905572201061236
2024-04-12,weekday_hour_profile,24,1112.5922619047617,1490.8375013963553,0.27438468385682
2024-04-12,seasonal_lag_blend,24,951.2391369047618,1288.341923300013,0.272944155316514
2024-04-12,calendar_lag_ridge,24,1208.5536067580979,1679.9352560248851,0.32794585398207515
2024-04-19,previous_day,24,1156.125,1533.7740353998258,0.2677758884949902
2024-04-19,previous_week,24,850.6666666666666,1220.9369011814929,0.24234282047297737
2024-04-19,hour_of_day_profile,24,1619.2824923547403,1919.9780617349659,0.3295940896549318
2024-04-19,weekday_hour_profile,24,1271.9694444444444,1492.814225684967,0.2819609425692737
2024-04-19,seasonal_lag_blend,24,993.9343055555555,1236.8478069013074,0.2428946478606732
2024-04-19,calendar_lag_ridge,24,915.9371165027031,1235.5421233042928,0.17342087394632988
2024-04-26,previous_day,24,578.7916666666666,793.5023892003518,0.12986583109335392
2024-04-26,previous_week,24,379.2916666666667,551.3235211742739,0.0820655929086228
2024-04-26,hour_of_day_profile,24,1671.8448275862067,2083.6036639286276,0.3034955377189925
2024-04-26,weekday_hour_profile,24,1342.4296875,1695.8177894743458,0.25961939629521996
2024-04-26,seasonal_lag_blend,24,927.3975260416665,1236.9574783640878,0.1653010682111651
2024-04-26,calendar_lag_ridge,24,481.1212544814651,597.0205425550853,0.3022257430707079
2024-05-03,previous_day,24,931.125,1409.2456167515063,0.19215881242130928
2024-05-03,previous_week,24,785.7916666666666,972.6279907206729,0.17230512301768672
2024-05-03,hour_of_day_profile,24,2340.436653116531,2790.404899993463,0.41156497877859133
2024-05-03,weekday_hour_profile,24,2049.2549019607845,2427.556176586739,0.3765095531643312
2024-05-03,seasonal_lag_blend,24,1607.0427696078434,1892.6258727419095,0.3050380026130057
2024-05-03,calendar_lag_ridge,24,457.46351968683075,523.8789635937427,0.2932823177841339
2024-05-10,previous_day,24,2461.125,3205.523390701327,0.7495702633025223
2024-05-10,previous_week,24,2096.0833333333335,2600.773811131346,0.7068031413824465
2024-05-10,hour_of_day_profile,24,450.3419871794872,550.9415896621238,0.22045973415186515
2024-05-10,weekday_hour_profile,24,442.8379629629629,600.3303340918766,0.2058247677512042
2024-05-10,seasonal_lag_blend,24,873.4162037037037,1185.6757596963678,0.33705156044946044
2024-05-10,calendar_lag_ridge,24,2423.4023569594574,2771.335679402646,1.3214313333893923
2024-05-17,previous_day,24,1058.875,1232.9710222331532,0.2501274237457089
2024-05-17,previous_week,24,2589.25,3167.0491786519515,0.41656453870809235
2024-05-17,hour_of_day_profile,24,2673.4236618004866,3172.495461316377,0.4165785020329584
2024-05-17,weekday_hour_profile,24,2437.030701754386,2881.7020501222314,0.39450695570428623
2024-05-17,seasonal_lag_blend,24,2490.3074561403514,2972.3253112635884,0.40222710975561843
2024-05-17,calendar_lag_ridge,24,1459.4100040434193,1750.043646561144,0.36739050451207006
2024-05-24,previous_day,24,1353.5,1794.8436097145996,0.20763042077635183
2024-05-24,previous_week,24,426.125,566.1333397118857,0.09109521991715502
2024-05-24,hour_of_day_profile,24,2880.853587962963,3358.2570921632378,0.4472350445466751
2024-05-24,weekday_hour_profile,24,2645.2208333333333,3076.5796961682954,0.4243850798895446
2024-05-24,seasonal_lag_blend,24,1834.908125,2135.331543890516,0.30391610628310983
2024-05-24,calendar_lag_ridge,24,716.2123601202744,1022.605567577734,0.16199418715908023
2024-05-31,previous_day,24,863.0,1035.4309891698883,0.20951652868702744
2024-05-31,previous_week,24,625.8333333333334,911.9442599925356,0.08266030741169596
2024-05-31,hour_of_day_profile,24,3252.0974061810152,3881.0514919526945,0.4526388900912918
2024-05-31,weekday_hour_profile,24,2978.924603174603,3547.73454605852,0.42849515955721706
2024-05-31,seasonal_lag_blend,24,2097.1843253968254,2553.249330525866,0.29066530049701644
2024-05-31,calendar_lag_ridge,24,648.4393839460087,825.3467425127747,0.24494995150935714
2024-06-07,previous_day,24,1249.7083333333333,1982.7896278559997,0.2512264315290482
2024-06-07,previous_week,24,235.29166666666666,304.50964680942377,0.05007864029021739
2024-06-07,hour_of_day_profile,24,3212.008966244726,3743.9986679485073,0.4561831322817947
2024-06-07,weekday_hour_profile,24,2931.8939393939395,3408.0507877929736,0.43061197768111387
2024-06-07,seasonal_lag_blend,24,1936.6623106060606,2230.0367784684945,0.29326948840851025
2024-06-07,calendar_lag_ridge,24,566.0323821631081,874.1685214100302,0.16929246297695902
2024-06-14,previous_day,24,1646.5833333333333,2550.07292379388,0.3045063117282312
2024-06-14,previous_week,24,1039.75,2051.043067969726,0.19090005205629723
2024-06-14,hour_of_day_profile,24,2345.943181818182,2791.372005170644,0.3913523592416559
2024-06-14,weekday_hour_profile,24,2099.449275362319,2496.1828230405818,0.36607934044551355
2024-06-14,seasonal_lag_blend,24,1428.1458333333333,1762.0677435168593,0.2585269760136538
2024-06-14,calendar_lag_ridge,24,1196.7124150697146,2109.025829072655,0.38593433149996276
2024-06-21,previous_day,24,764.8333333333334,964.1997977597797,0.11506910813829374
2024-06-21,previous_week,24,1101.625,1948.0150474264822,0.12978950613699516
2024-06-21,hour_of_day_profile,24,2658.53730620155,3042.1363255049346,0.40809200480572977
2024-06-21,weekday_hour_profile,24,2402.4270833333335,2763.8512434709432,0.38395940639731885
2024-06-21,seasonal_lag_blend,24,1759.4880208333334,2234.181185048676,0.2715896997529333
2024-06-21,calendar_lag_ridge,24,674.1190378697495,820.076590523113,0.256330947473562
2024-06-28,previous_day,24,1023.125,1215.7529388544917,0.22243674202096053
2024-06-28,previous_week,24,516.3333333333334,726.6066106681569,0.0678853704763977
2024-06-28,hour_of_day_profile,24,2879.6366387337057,3405.921568666445,0.41502297377096614
2024-06-28,weekday_hour_profile,24,2621.4133333333334,3129.319375668347,0.3890664768843652
2024-06-28,seasonal_lag_blend,24,1814.1978333333334,2224.500850625671,0.26423280575287733
2024-06-28,calendar_lag_ridge,24,580.5961116127351,683.7123372968131,0.2086121040189167
2024-07-05,previous_day,24,877.5,1229.6330075812593,0.23251548967620952
2024-07-05,previous_week,24,2529.4583333333335,3236.0270973834567,0.5272721228332965
2024-07-05,hour_of_day_profile,24,836.2771057347671,979.0819760171754,0.22874773782075
2024-07-05,weekday_hour_profile,24,826.5160256410255,1019.5623877549891,0.24849769375740102
2024-07-05,seasonal_lag_blend,24,1053.5375,1510.3260851344323,0.27154173196541787
2024-07-05,calendar_lag_ridge,24,2161.0887662852983,2433.2233191735872,0.6903264460549194
2024-07-12,previous_day,24,1400.625,2195.0128416480848,0.2632866776490725
2024-07-12,previous_week,24,1437.3333333333333,1991.3927914904182,0.21684165636830374
2024-07-12,hour_of_day_profile,24,1797.7787132987912,2113.799366460829,0.31928891362736644
2024-07-12,weekday_hour_profile,24,1640.256172839506,1896.7776590530966,0.3077551803093917
2024-07-12,seasonal_lag_blend,24,1528.2973765432098,1872.7596434620025,0.26267095198689216
2024-07-12,calendar_lag_ridge,24,690.7287886940961,930.9984534806512,0.2834188032336565
2024-07-19,previous_day,24,1048.25,1287.959917854589,0.19069095959115293
2024-07-19,previous_week,24,1004.7916666666666,1393.6171311853673,0.12338685938148834
2024-07-19,hour_of_day_profile,24,2592.7360416666666,3009.104236395394,0.3780401956076127
2024-07-19,weekday_hour_profile,24,2373.2291666666665,2768.515688093728,0.35695459722772255
2024-07-19,seasonal_lag_blend,24,1893.6343749999999,2213.7589116806494,0.27390806221228114
2024-07-19,calendar_lag_ridge,24,474.2371816249627,572.6185282054815,0.1645546540023528
2024-07-26,previous_day,24,935.625,1174.4911841587686,0.15833704535496973
2024-07-26,previous_week,24,149.33333333333334,198.89926260966044,0.030962354171742302
2024-07-26,hour_of_day_profile,24,2580.401368760064,2992.2036227744234,0.37734735243787343
2024-07-26,weekday_hour_profile,24,2350.7270114942526,2748.32777720331,0.3543032474367814
2024-07-26,seasonal_lag_blend,24,1548.7392241379312,1816.0295243414482,0.2356370518027532
2024-07-26,calendar_lag_ridge,24,342.49690587796067,397.49641791240566,0.12138653103723751
2024-08-02,previous_day,24,1731.25,2864.445277885406,0.3147606447424168
2024-08-02,previous_week,24,1237.375,2328.07628919959,0.25537162803268876
2024-08-02,hour_of_day_profile,24,1657.7196261682245,1966.1467241367375,0.3080118104644165
2024-08-02,weekday_hour_profile,24,1431.9194444444445,1705.4772043711487,0.28373041525906073
2024-08-02,seasonal_lag_blend,24,982.7127777777778,1477.117120293564,0.19475257529612935
2024-08-02,calendar_lag_ridge,24,1101.3033319516353,2263.1255679081823,0.2811249705549033
2024-08-09,previous_day,24,1412.0833333333333,2058.570762284681,0.21569739489683093
2024-08-09,previous_week,24,981.9583333333334,1164.1856059065497,0.22617552435895524
2024-08-09,hour_of_day_profile,24,892.9210030165913,1136.5825413795765,0.17159892737001603
2024-08-09,weekday_hour_profile,24,673.627688172043,912.6351919723625,0.14373148413812512
2024-08-09,seasonal_lag_blend,24,397.39543010752686,629.314139932617,0.09577477564062076
2024-08-09,calendar_lag_ridge,24,651.8738081264836,758.6139175489232,0.20985042537490173
2024-08-16,previous_day,24,838.2083333333334,1120.7209175347805,0.13459420431381752
2024-08-16,previous_week,24,1737.25,2409.811680055795,0.24907146375793765
2024-08-16,hour_of_day_profile,24,2152.128472222222,2510.7210471234275,0.3270705586436204
2024-08-16,weekday_hour_profile,24,1954.5481770833333,2314.8919905554612,0.30741110909667585
2024-08-16,seasonal_lag_blend,24,1878.4938151041667,2310.3811122519605,0.28699223322811745
2024-08-16,calendar_lag_ridge,24,810.7839099778254,1106.552524987463,0.14701346457975664
2024-08-23,previous_day,24,824.8333333333334,1062.3323397129545,0.14603925613828314
