station_id,station_name,annual_starts,months_active,first_started_at,last_started_at,latitude,longitude,coordinate_rows,share_of_system_starts
5374.01,Norfolk St & Broome St,94928,12,2024-01-01 00:45:39.164,2024-12-31 23:49:01.046,40.7172274,-73.98802084000005,94928,0.0021456725113986027
7175.05,Columbus Ave & W 72 St,94265,12,2024-01-01 00:47:46.180,2024-12-31 20:11:23.264,40.77705750000001,-73.97898474999998,94265,0.002130686618142058
5763.03,Carmine St & 6 Ave,93960,12,2024-01-01 00:42:00.900,2024-12-31 23:48:53.540,40.73038599,-74.00214988000002,93960,0.0021237926551809024
7059.08,West End Ave & W 60 St,93462,12,2024-01-01 00:59:05.706,2024-12-31 23:41:11.657,40.77237000000002,-73.99005,93462,0.0021125362828705568
7260.09,Amsterdam Ave & W 73 St,93300,12,2024-01-01 00:34:21.358,2024-12-31 22:42:10.366,40.77966809007311,-73.98093044757842,93300,0.002108874571396107
5847.01,Christopher St & Greenwich St,93192,12,2024-01-06 08:26:57.424,2024-12-31 23:15:48.986,40.73291553,-74.00711384,93192,0.0021064334304131405
6306.06,W 22 St & 10 Ave,93132,12,2024-01-01 00:16:42.831,2024-12-31 21:32:05.872,40.74691959,-74.00451886999998,93132,0.0021050772409781588
6157.04,10 Ave & W 14 St,92171,12,2024-01-01 00:34:28.177,2024-12-31 21:08:13.752,40.74198159994023,-74.00831580162048,92171,0.0020833556068612065
6039.06,Washington St & Gansevoort St,90988,12,2024-01-01 00:29:25.029,2024-12-31 23:45:05.691,40.739322999999985,-74.00811899999998,90988,0.0020566160718348226
5297.02,Vesey Pl & River Terrace,90425,12,2024-01-01 09:28:16.676,2024-12-31 23:38:34.124,40.715337900000016,-74.01658354000004,90425,0.0020438904943032472
5561.06,Lafayette St & Jersey St,88805,12,2024-01-01 00:07:17.203,2024-12-31 23:31:59.274,40.72456089,-73.99565293,88805,0.002007273379558749
6535.04,W 34 St & Hudson Blvd E,88225,12,2024-01-01 01:28:39.563,2024-12-31 23:52:00.711,40.755167190721394,-74.00059908628464,88225,0.0019941635483539284
6551.11,E 43 St & Madison Ave,87736,12,2024-01-01 00:21:19.263,2024-12-31 23:36:42.237,40.75354681867075,-73.97896572947502,87736,0.00198311060445883
6122.09,2 Ave & E 29 St,86258,12,2024-01-01 00:04:19.151,2024-12-31 22:52:50.985,40.741723510974715,-73.97809267044067,86258,0.0019497031380437877
6955.05,W 54 St & 11 Ave,85867,12,2024-01-01 00:05:58.333,2024-12-31 23:34:22.958,40.768333,-73.99257299999996,85867,0.0019408653035591587
6889.12,E 72 St & York Ave,85619,12,2024-01-01 01:15:02.767,2024-12-31 23:10:36.924,40.76663813999998,-73.95348296,85619,0.0019352597205612354
5382.06,Grand St & Elizabeth St,85577,12,2024-01-01 00:16:26.845,2024-12-31 23:11:07.552,40.71882199999999,-73.99595999999997,85577,0.0019343103879567484
5340.01,N 7 St & Driggs Ave,84955,12,2024-01-01 00:02:35.728,2024-12-31 23:40:13.341,40.716967000000004,-73.95638800000002,84955,0.001920251224147441
6266.06,9 Ave & W 22 St,84745,12,2024-01-01 00:18:00.901,2024-12-31 23:12:42.586,40.745497299999975,-74.00197138999998,84745,0.0019155045611250062
5593.01,E 1 St & 1 Ave,84613,12,2024-01-01 00:37:00.141,2024-12-31 23:37:24.829,40.72335597960795,-73.98864984512329,84613,0.001912520944368047
5880.02,W 4 St & 7 Ave S,84186,12,2024-01-01 00:18:07.591,2024-12-31 23:32:23.372,40.734011429999995,-74.00293877,84186,0.0019028693962224292
6022.04,E 16 St & 5 Ave,84050,12,2024-01-01 00:23:27.124,2024-12-31 19:50:34.126,40.737261860000004,-73.99238966999995,84050,0.0018997953668364715
5989.02,W 15 St & 6 Ave,83714,12,2024-01-01 00:20:54.441,2024-12-31 23:23:26.733,40.73804614248275,-73.99642959237099,83714,0.0018922007060005754
7212.05,E 85 St & 3 Ave,83496,12,2024-01-01 00:03:48.554,2024-12-31 23:43:24.028,40.778012029999985,-73.95407149,83496,0.001887273217720143
6822.09,1 Ave & E 68 St,83363,10,2024-01-01 00:53:02.049,2024-12-31 23:39:42.822,40.76500524999998,-73.95818491000001,83363,0.0018842669978059341
7079.06,Central Park West & W 68 St,83031,11,2024-01-01 00:24:43.003,2024-12-31 23:53:16.638,40.7734066,-73.97782541999997,83031,0.0018767627495990368
6747.07,8 Ave & W 49 St,82977,12,2024-01-01 00:06:49.751,2024-12-31 22:59:06.954,40.761712279106696,-73.98655101656914,82977,0.0018755421791075537
5679.08,Bleecker St & Crosby St,82923,12,2024-01-01 00:43:07.019,2024-12-31 22:43:07.272,40.726156049804096,-73.99510189890862,82923,0.0018743216086160705
5712.03,Cooper Square & Astor Pl,80985,12,2024-01-01 00:20:52.651,2024-12-31 23:45:24.525,40.729514962249475,-73.99075269699097,80985,0.0018305166898661706
6425.04,11 Ave & W 27 St,80830,12,2024-01-01 00:03:08.476,2024-12-31 23:20:08.574,40.75139600000001,-74.005226,80830,0.0018270132004924685
6459.04,10 Ave & W 28 St,80767,12,2024-01-01 00:38:12.671,2024-12-31 23:29:02.983,40.750663859999996,-74.00176801999993,80767,0.001825589201585738
5696.03,Pier 40 - Hudson River Park,80563,12,2024-01-01 00:01:52.383,2024-12-31 19:42:31.162,40.7277140777778,-74.01129573583603,80563,0.0018209781575068012
5382.07,Forsyth St & Grand St,80469,12,2024-01-01 00:26:02.122,2024-12-31 23:31:22.822,40.71779817737834,-73.99316132068634,80469,0.0018188534607253303
5626.07,E 7 St & Ave A,79343,12,2024-01-01 00:57:51.595,2024-12-31 23:24:45.882,40.726217880000014,-73.98379854999999,79343,0.001793402305662179
4395.07,Hanson Pl & Ashland Pl,78467,12,2024-01-01 00:06:27.801,2024-12-31 23:50:09.876,40.68506807308177,-73.97790759801863,78467,0.0017736019399114504
6756.05,W 44 St & 11 Ave,78361,12,2024-01-01 00:30:17.944,2024-12-31 23:39:10.375,40.76200900000002,-73.99697500000005,78361,0.0017712060052429831
7014.12,Broadway & W 61 St,78067,12,2024-01-01 00:25:17.778,2024-12-31 22:10:01.501,40.77003010255043,-73.9819684624672,78067,0.0017645606770115743
5636.11,Great Jones St,77680,12,2024-01-01 00:29:39.723,2024-12-31 22:44:15.541,40.727434230000014,-73.99379024999999,77680,0.001755813255155944
6364.10,6 Ave & W 34 St,77583,12,2024-01-01 01:01:02.556,2024-12-31 23:29:18.202,40.74963999999998,-73.98804999999999,77583,0.0017536207489027241
6584.12,E 47 St & Park Ave,77151,12,2024-01-01 00:22:19.640,2024-12-31 23:54:51.334,40.75510266877615,-73.97498695533079,77151,0.0017438561849708579
6389.09,E 39 St & Lexington Ave,76960,12,2024-01-01 00:21:23.099,2024-12-31 23:11:05.374,40.74949854602523,-73.97729203113154,76960,0.001739538981936167
7207.08,W 70 St & Amsterdam Ave,76957,12,2024-01-01 00:38:27.141,2024-12-31 23:15:29.011,40.77748045999999,-73.98288594000009,76957,0.001739471172464418
5445.02,Suffolk St & Stanton St,76896,12,2024-01-01 00:32:34.293,2024-12-31 23:39:18.240,40.72066442,-73.98517976999997,76896,0.0017380923798721868
7141.07,Central Park West & W 72 St,76534,12,2024-01-01 00:23:03.273,2024-12-31 23:06:23.564,40.77579376683667,-73.9762057363987,76534,0.0017299100369477989
5484.09,Allen St & Stanton St,76467,12,2024-01-01 00:16:28.993,2024-12-31 23:32:17.696,40.722055,-73.989111,76467,0.0017283956254120698
6611.02,W 37 St & 10 Ave,76361,12,2024-01-01 00:51:19.627,2024-12-31 22:44:53.131,40.756603590000005,-73.99790090000002,76361,0.0017259996907436025
6676.02,W 45 St & 8 Ave,76349,12,2024-01-01 00:12:53.593,2024-12-31 22:34:37.691,40.75929123999999,-73.98859651000002,76349,0.0017257284528566063
5854.09,1 Ave & E 18 St,76339,12,2024-01-01 00:58:45.252,2024-12-31 23:35:21.471,40.7338121919663,-73.98054420948029,76339,0.0017255024212841092
6464.09,E 44 St & Lexington Ave,76197,12,2024-01-01 00:05:16.135,2024-12-31 21:43:13.561,40.75264300000001,-73.97499599999998,76197,0.0017222927729546532
6925.09,2 Ave & E 72 St,75899,12,2024-01-01 00:35:48.675,2024-12-31 23:19:56.257,40.768762029309585,-73.95840793848038,75899,0.0017155570320942456
6089.07,Lexington Ave & E 24 St,75690,12,2024-01-01 00:32:52.213,2024-12-31 23:14:13.297,40.740258780000005,-73.98409214000002,75690,0.0017108329722290603
5470.12,North Moore St & Greenwich St,75547,12,2024-01-01 01:37:01.521,2024-12-31 23:47:03.479,40.72019521437464,-74.0103006362915,75547,0.0017076007207423546
6182.02,W 20 St & 7 Ave,75377,12,2024-01-01 00:55:44.821,2024-12-31 23:53:24.143,40.74238786999999,-73.99726235000004,75377,0.0017037581840099072
6030.04,W 13 St & 7 Ave,75372,12,2024-01-01 00:45:52.734,2024-12-31 23:47:22.961,40.737815090000005,-73.99994661,75372,0.0017036451682236587
6280.12,E 32 St & Park Ave,75321,12,2024-01-01 00:55:55.822,2024-12-31 21:40:25.364,40.74571209999999,-73.98194829,75321,0.0017024924072039246
6239.08,E 31 St & 3 Ave,74965,12,2024-01-01 00:42:21.284,2024-12-31 22:41:14.196,40.74394314000001,-73.97966069000002,74965,0.0016944456832230347
5820.08,E 13 St & 2 Ave,74960,12,2024-01-01 00:41:19.630,2024-12-31 23:20:11.666,40.73153937464072,-73.9853024482727,74960,0.0016943326674367864
6708.04,Broadway & W 48 St,74827,12,2024-01-04 10:35:52.868,2024-12-27 10:53:49.140,40.760177395377845,-73.98486793041229,74827,0.0016913264475225775
6847.02,Broadway & W 56 St,74619,12,2024-01-01 22:24:25.334,2024-12-29 03:23:46.238,40.76526539999999,-73.98192337999998,74619,0.001686624990814642
5414.06,Allen St & Rivington St,74151,12,2024-01-01 00:50:29.637,2024-12-31 23:40:10.914,40.720195760000024,-73.98997824999995,74151,0.0016760467132217868
5626.15,1 Ave & E 6 St,74149,12,2024-01-01 00:23:07.454,2024-12-31 23:23:57.376,40.726330859716974,-73.98616880178452,74149,0.0016760015069072875
7020.02,E 77 St & 1 Ave,73781,12,2024-01-01 00:24:46.706,2024-12-31 21:26:38.768,40.7709555386924,-73.95356208096925,73781,0.0016676835450394015
5947.04,W 13 St & 5 Ave,73463,12,2024-01-01 01:17:26.231,2024-12-31 23:35:31.431,40.73544499999997,-73.99431000000006,73463,0.001660495741034
7323.09,5 Ave & E 87 St,73281,12,2024-01-01 02:23:25.023,2024-12-31 23:04:18.710,40.78232260730881,-73.95987510681152,73281,0.0016563819664145564
6717.06,9 Ave & W 45 St,72844,12,2024-01-01 00:07:36.108,2024-12-31 23:08:35.032,40.76019251999998,-73.99125510000003,72844,0.0016465043866964416
5886.13,E 20 St & FDR Dr,72757,12,2024-01-01 00:16:44.645,2024-12-31 23:06:18.881,40.73320862652241,-73.97568136470002,72757,0.0016445379120157185
7183.03,Riverside Blvd & W 67 St,72388,12,2024-01-01 07:52:50.095,2024-12-31 19:10:14.346,40.77750702754797,-73.98888587951659,72388,0.0016361973469905828
6215.07,W 27 St & 6 Ave,72236,12,2024-01-01 01:54:27.722,2024-12-31 23:41:51.802,40.74526,-73.99062000000005,72236,0.00163276166708863
5746.02,E 10 St & 2 Ave,71815,12,2024-01-01 00:17:54.664,2024-12-31 23:05:37.067,40.72970805644995,-73.9865979552269,71815,0.0016232457378865103
6762.02,E 58 St & 3 Ave,71621,12,2024-01-01 00:35:16.711,2024-12-31 23:03:37.063,40.76095756000001,-73.96724466999994,71621,0.0016188607253800704
5863.07,E 15 St & 3 Ave,71437,12,2024-01-01 00:34:49.796,2024-12-31 22:34:23.161,40.73423199999998,-73.98692299999996,71437,0.0016147017444461274
6115.06,Hudson St & W 13 St,71397,12,2024-01-01 00:29:47.547,2024-12-31 20:23:29.921,40.740057085672866,-74.0052741765976,71397,0.0016137976181561397
5515.02,E 2 St & Ave B,71396,12,2024-01-03 12:59:30.554,2024-12-31 23:31:44.632,40.72217444000004,-73.98368779,71396,0.0016137750149988902
6517.08,W 42 St & 6 Ave,71195,12,2024-01-02 08:30:32.124,2024-12-28 09:27:14.648,40.75492,-73.98455000000001,71195,0.0016092317803917022
7100.07,5 Ave & E 72 St,71153,12,2024-01-03 13:07:44.035,2024-12-31 23:37:53.052,40.77282816999998,-73.96685275999995,71153,0.0016082824477872152
