model,model_label,origins,holdout_hours,mean_actual,median_origin_mae,origin_wins,n,mae,rmse,mape,origin_win_rate
calendar_lag_ridge,Calendar + lag ridge,44,1056,5662.137310606061,602.9660137135385,16,1056,750.2551763999098,1163.3094842549078,0.2814936845753114,0.36363636363636365
previous_week,Previous week,44,1056,5662.137310606061,744.0416666666667,16,1056,918.4479166666666,1537.8394817991582,0.2290108020017733,0.36363636363636365
previous_day,Previous day,44,1056,5662.137310606061,953.2916666666667,5,1056,1034.4526515151515,1546.5402626801895,0.23402850458306065,0.11363636363636363
seasonal_lag_blend,Seasonal lag blend,44,1056,5662.137310606061,1283.9610836988304,4,1056,1350.169428868087,1831.2109506124464,0.29021504841038254,0.09090909090909091
weekday_hour_profile,Weekday/hour profile,44,1056,5662.137310606061,1847.5496794871792,3,1056,1792.1333068690412,2369.3566152360713,0.3673157454124557,0.06818181818181818
hour_of_day_profile,Hour-of-day profile,44,1056,5662.137310606061,2037.917470148811,0,1056,1969.9156153679953,2550.464431123461,0.38481771923780966,0.0
