hour,rides,date,month,day_name,day_of_week,hour_of_day,day_of_year,is_weekend,is_federal_holiday,hour_sin,hour_cos,dow_sin,dow_cos,month_number,month_sin,month_cos,is_weekend_int,is_federal_holiday_int,days_since_start,lag_24h,lag_168h,rolling_24h_prior_day,rolling_168h_prior_day
2024-01-01 00:00:00,1898,2024-01-01,2024-01,Monday,0,0,1,False,True,0.0,1.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.0,,,,
2024-01-01 01:00:00,2326,2024-01-01,2024-01,Monday,0,1,1,False,True,0.25881904510252074,0.9659258262890683,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.041666666666666664,,,,
2024-01-01 02:00:00,1929,2024-01-01,2024-01,Monday,0,2,1,False,True,0.49999999999999994,0.8660254037844387,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.08333333333333333,,,,
2024-01-01 03:00:00,1095,2024-01-01,2024-01,Monday,0,3,1,False,True,0.7071067811865476,0.7071067811865476,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.125,,,,
2024-01-01 04:00:00,649,2024-01-01,2024-01,Monday,0,4,1,False,True,0.8660254037844386,0.5000000000000001,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.16666666666666666,,,,
2024-01-01 05:00:00,378,2024-01-01,2024-01,Monday,0,5,1,False,True,0.9659258262890683,0.25881904510252074,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.20833333333333334,,,,
2024-01-01 06:00:00,404,2024-01-01,2024-01,Monday,0,6,1,False,True,1.0,6.123233995736766e-17,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.25,,,,
2024-01-01 07:00:00,459,2024-01-01,2024-01,Monday,0,7,1,False,True,0.9659258262890683,-0.25881904510252063,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.2916666666666667,,,,
2024-01-01 08:00:00,643,2024-01-01,2024-01,Monday,0,8,1,False,True,0.8660254037844387,-0.4999999999999998,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.3333333333333333,,,,
2024-01-01 09:00:00,1072,2024-01-01,2024-01,Monday,0,9,1,False,True,0.7071067811865476,-0.7071067811865475,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.375,,,,
2024-01-01 10:00:00,1591,2024-01-01,2024-01,Monday,0,10,1,False,True,0.49999999999999994,-0.8660254037844387,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.4166666666666667,,,,
2024-01-01 11:00:00,2372,2024-01-01,2024-01,Monday,0,11,1,False,True,0.258819045102521,-0.9659258262890682,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.4583333333333333,,,,
2024-01-01 12:00:00,3157,2024-01-01,2024-01,Monday,0,12,1,False,True,1.2246467991473532e-16,-1.0,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.5,,,,
2024-01-01 13:00:00,3605,2024-01-01,2024-01,Monday,0,13,1,False,True,-0.2588190451025208,-0.9659258262890683,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.5416666666666666,,,,
2024-01-01 14:00:00,4143,2024-01-01,2024-01,Monday,0,14,1,False,True,-0.4999999999999997,-0.8660254037844388,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.5833333333333334,,,,
2024-01-01 15:00:00,4342,2024-01-01,2024-01,Monday,0,15,1,False,True,-0.7071067811865471,-0.7071067811865479,0.0,1.0,1,0.49999999999999994,0.8660254037844387,0,1,0.625,,,,
