hour,rides,day_of_week,hour_of_day,day_name,is_weekend,trend_24h,trend_168h,seasonal_expected,seasonal_component,seasonal_residual,residual_robust_z
2024-01-01 00:00:00,1898.0,0,0,Monday,False,1234.6666666666667,2604.1785714285716,744.6,-1790.0276881720433,1153.4,1.9248995286193886
2024-01-01 01:00:00,2326.0,0,1,Monday,False,1382.5384615384614,2616.9411764705883,646.2,-1888.4276881720432,1679.8,2.8376294406720355
2024-01-01 02:00:00,1929.0,0,2,Monday,False,1541.2857142857142,2630.906976744186,504.6,-2030.0276881720433,1424.4,2.3947889780233917
2024-01-01 03:00:00,1095.0,0,3,Monday,False,1714.7333333333333,2652.9540229885056,309.8,-2224.827688172043,785.2,1.2864740848166063
2024-01-01 04:00:00,649.0,0,4,Monday,False,1878.9375,2682.693181818182,264.4,-2270.227688172043,384.6,0.5918699762142308
2024-01-01 05:00:00,378.0,0,5,Monday,False,2008.3529411764705,2722.179775280899,548.6,-1986.0276881720433,-170.60000000000002,-0.3707965267713879
2024-01-01 06:00:00,404.0,0,6,Monday,False,2075.3333333333335,2780.1555555555556,1349.4,-1185.2276881720431,-945.4000000000001,-1.7142295356209147
2024-01-01 07:00:00,459.0,0,7,Monday,False,2108.2631578947367,2822.5934065934066,2747.4,212.77231182795686,-2288.4,-4.042869869752193
2024-01-01 08:00:00,643.0,0,8,Monday,False,2111.45,2840.6195652173915,4256.4,1721.7723118279564,-3613.3999999999996,-6.340299834550364
2024-01-01 09:00:00,1072.0,0,9,Monday,False,2092.7619047619046,2841.7849462365593,3231.0,696.3723118279568,-2159.0,-3.8185019924353
2024-01-01 10:00:00,1591.0,0,10,Monday,False,2064.0,2835.255319148936,2578.4,43.772311827956855,-987.4000000000001,-1.7870537307314984
2024-01-01 11:00:00,2372.0,0,11,Monday,False,2017.9130434782608,2822.157894736842,2737.4,202.77231182795686,-365.4000000000001,-0.7085620793319041
2024-01-01 12:00:00,3157.0,0,12,Monday,False,1966.375,2802.9270833333335,3178.8,644.172311827957,-21.800000000000182,-0.11279080695103506
2024-01-01 13:00:00,3605.0,0,13,Monday,False,1906.0833333333333,2779.8865979381444,3466.8,932.172311827957,138.19999999999982,0.16463469823214033
